Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,,,,17-04-2024 16:40:36,17-04-2024 16:49:36,"9m - 0,614s",FAILED
,,,,,,,
Test Cases/Authentification/TC00_AuthentificationAvecPwdVide,,,,17-04-2024 16:43:54,17-04-2024 16:44:50,"55,532s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 16:43:55,17-04-2024 16:43:55,"0,000s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 16:43:55,17-04-2024 16:43:55,"0,001s",PASSED
apkkeyword.startApplication(),,,,17-04-2024 16:43:55,17-04-2024 16:44:17,"22,678s",PASSED
apkkeyword.setLanguage(),,,,17-04-2024 16:44:17,17-04-2024 16:44:31,"13,615s",PASSED
delay(5),,,,17-04-2024 16:44:31,17-04-2024 16:44:36,"5,011s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 16:44:36,17-04-2024 16:44:44,"8,181s",PASSED
authkeyword.Login(),,,,17-04-2024 16:44:44,17-04-2024 16:44:44,"0,380s",PASSED
alertPath = authPage,,,,17-04-2024 16:44:44,17-04-2024 16:44:44,"0,003s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Me connecter"")",,,,17-04-2024 16:44:44,17-04-2024 16:44:45,"0,587s",PASSED
delay(5),,,,17-04-2024 16:44:45,17-04-2024 16:44:50,"5,008s",PASSED
,,,,,,,
Test Cases/Authentification/TC01_AuthentificationAvecPwdInvalide,,,,17-04-2024 16:44:50,17-04-2024 16:45:15,"25,304s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 16:44:50,17-04-2024 16:44:50,"0,003s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 16:44:50,17-04-2024 16:44:50,"0,003s",PASSED
authkeyword.resetLoginPage(),,,,17-04-2024 16:44:50,17-04-2024 16:44:59,"9,126s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 16:44:59,17-04-2024 16:45:08,"8,565s",PASSED
authkeyword.Login(),,,,17-04-2024 16:45:08,17-04-2024 16:45:08,"0,403s",PASSED
alertPath = identifiantMdpInvalid,,,,17-04-2024 16:45:08,17-04-2024 16:45:08,"0,002s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Identifiant ou mot de passe invalide"")",,,,17-04-2024 16:45:08,17-04-2024 16:45:10,"1,684s",PASSED
delay(5),,,,17-04-2024 16:45:10,17-04-2024 16:45:15,"5,010s",PASSED
authkeyword.ReturnToAuthPage(),,,,17-04-2024 16:45:15,17-04-2024 16:45:15,"0,290s",PASSED
,,,,,,,
Test Cases/Authentification/TC02_AuthentificationAvecIdentifiantVide,,,,17-04-2024 16:45:15,17-04-2024 16:45:39,"23,567s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 16:45:16,17-04-2024 16:45:16,"0,002s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 16:45:16,17-04-2024 16:45:16,"0,002s",PASSED
authkeyword.resetLoginPage(),,,,17-04-2024 16:45:16,17-04-2024 16:45:25,"9,211s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 16:45:25,17-04-2024 16:45:33,"8,164s",PASSED
authkeyword.Login(),,,,17-04-2024 16:45:33,17-04-2024 16:45:33,"0,400s",PASSED
