Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,,,,17-04-2024 14:56:19,17-04-2024 14:59:54,"3m - 35,107s",PASSED
,,,,,,,
Test Cases/Authentification/TC00_AuthentificationAvecPwdVide,,,,17-04-2024 14:56:19,17-04-2024 14:57:24,"1m - 4,539s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:56:20,17-04-2024 14:56:20,"0,019s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 14:56:20,17-04-2024 14:56:20,"0,042s",PASSED
apkkeyword.startApplication(),,,,17-04-2024 14:56:20,17-04-2024 14:56:54,"33,805s",PASSED
apkkeyword.setLanguage(),,,,17-04-2024 14:56:54,17-04-2024 14:57:04,"9,971s",PASSED
delay(5),,,,17-04-2024 14:57:04,17-04-2024 14:57:09,"5,014s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 14:57:09,17-04-2024 14:57:18,"9,214s",PASSED
authkeyword.Login(),,,,17-04-2024 14:57:18,17-04-2024 14:57:18,"0,335s",PASSED
alertPath = authPage,,,,17-04-2024 14:57:18,17-04-2024 14:57:18,"0,004s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Me connecter"")",,,,17-04-2024 14:57:18,17-04-2024 14:57:19,"0,494s",PASSED
delay(5),,,,17-04-2024 14:57:19,17-04-2024 14:57:24,"5,010s",PASSED
,,,,,,,
Test Cases/Authentification/TC01_AuthentificationAvecPwdInvalide,,,,17-04-2024 14:57:24,17-04-2024 14:57:46,"22,532s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:57:24,17-04-2024 14:57:24,"0,002s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 14:57:24,17-04-2024 14:57:24,"0,002s",PASSED
authkeyword.resetLoginPage(),,,,17-04-2024 14:57:24,17-04-2024 14:57:32,"8,322s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 14:57:32,17-04-2024 14:57:39,"6,934s",PASSED
authkeyword.Login(),,,,17-04-2024 14:57:39,17-04-2024 14:57:40,"0,310s",PASSED
alertPath = identifiantMdpInvalid,,,,17-04-2024 14:57:40,17-04-2024 14:57:40,"0,003s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Identifiant ou mot de passe invalide"")",,,,17-04-2024 14:57:40,17-04-2024 14:57:41,"1,456s",PASSED
delay(5),,,,17-04-2024 14:57:41,17-04-2024 14:57:46,"5,017s",PASSED
authkeyword.ReturnToAuthPage(),,,,17-04-2024 14:57:46,17-04-2024 14:57:46,"0,226s",PASSED
,,,,,,,
Test Cases/Authentification/TC02_AuthentificationAvecIdentifiantVide,,,,17-04-2024 14:57:46,17-04-2024 14:58:09,"22,421s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:57:47,17-04-2024 14:57:47,"0,002s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 14:57:47,17-04-2024 14:57:47,"0,002s",PASSED
