Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Authentification,,,,17-04-2024 14:24:24,17-04-2024 14:28:03,"3m - 38,449s",PASSED
,,,,,,,
Test Cases/Authentification/TC00_AuthentificationAvecPwdVide,,,,17-04-2024 14:24:25,17-04-2024 14:25:24,"59,282s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:24:25,17-04-2024 14:24:25,"0,020s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 14:24:25,17-04-2024 14:24:25,"0,019s",PASSED
apkkeyword.startApplication(),,,,17-04-2024 14:24:25,17-04-2024 14:24:53,"27,722s",PASSED
apkkeyword.setLanguage(),,,,17-04-2024 14:24:53,17-04-2024 14:25:04,"11,155s",PASSED
delay(5),,,,17-04-2024 14:25:04,17-04-2024 14:25:09,"5,007s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 14:25:09,17-04-2024 14:25:18,"9,012s",PASSED
authkeyword.Login(),,,,17-04-2024 14:25:18,17-04-2024 14:25:18,"0,348s",PASSED
alertPath = authPage,,,,17-04-2024 14:25:18,17-04-2024 14:25:18,"0,003s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Me connecter"")",,,,17-04-2024 14:25:18,17-04-2024 14:25:19,"0,490s",PASSED
delay(5),,,,17-04-2024 14:25:19,17-04-2024 14:25:24,"5,013s",PASSED
,,,,,,,
Test Cases/Authentification/TC01_AuthentificationAvecPwdInvalide,,,,17-04-2024 14:25:24,17-04-2024 14:25:47,"23,237s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:25:24,17-04-2024 14:25:24,"0,002s",PASSED
authkeyword = new com.communKeywords.authentificationKeywords(),,,,17-04-2024 14:25:24,17-04-2024 14:25:24,"0,002s",PASSED
authkeyword.resetLoginPage(),,,,17-04-2024 14:25:24,17-04-2024 14:25:33,"8,657s",PASSED
"authkeyword.setAuthData(immatriculation, Mdp)",,,,17-04-2024 14:25:33,17-04-2024 14:25:40,"7,253s",PASSED
authkeyword.Login(),,,,17-04-2024 14:25:40,17-04-2024 14:25:41,"0,387s",PASSED
alertPath = identifiantMdpInvalid,,,,17-04-2024 14:25:41,17-04-2024 14:25:41,"0,002s",PASSED
"authkeyword.verifyalertPresent(alertPath, ""Identifiant ou mot de passe invalide"")",,,,17-04-2024 14:25:41,17-04-2024 14:25:42,"1,405s",PASSED
delay(5),,,,17-04-2024 14:25:42,17-04-2024 14:25:47,"5,017s",PASSED
authkeyword.ReturnToAuthPage(),,,,17-04-2024 14:25:47,17-04-2024 14:25:47,"0,270s",PASSED
,,,,,,,
Test Cases/Authentification/TC02_AuthentificationAvecIdentifiantVide,,,,17-04-2024 14:25:47,17-04-2024 14:26:10,"23,024s",PASSED
apkkeyword = new com.communKeywords.apkKeywords(),,,,17-04-2024 14:25:47,17-04-2024 14:25:47,"0,002s",PASSED
